date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:21	21123/21123	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe968-5283%22	https://templates.envytheme.com/roose/default/assets/css/date-picker.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/date-picker.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:22	814/814	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe968-32e%22	https://templates.envytheme.com/roose/default/assets/css/before-after.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/before-after.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:22	159557/159557	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe96a-26f45%22	https://templates.envytheme.com/roose/default/assets/css/style.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/style.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:23	32945/32945	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe969-80b1%22	https://templates.envytheme.com/roose/default/assets/css/responsive.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/responsive.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:23	718/718	---M--	200	added ('OK')	image/png	etag:%2260ebe96f-5b7%22	https://templates.envytheme.com/roose/default/assets/images/favicon.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/favicon.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:24	23545/23545	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/my-account.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/my-account.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:24	26816/26816	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/cart.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/cart.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:25	47906/47906	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/index.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/index.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:25	2410/2410	---M--	200	added ('OK')	image/png	etag:%2260ebe970-dcb%22	https://templates.envytheme.com/roose/default/assets/images/logo.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/logo.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:25	2470/2470	---M--	200	added ('OK')	image/png	etag:%2260ebe971-1132%22	https://templates.envytheme.com/roose/default/assets/images/white-logo.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/white-logo.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:26	57866/57866	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/index-2.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/index-2.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:26	33338/33338	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:04%20GMT	https://templates.envytheme.com/roose/default/about.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/about.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:26	24176/24176	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/projects.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/projects.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:27	23072/23072	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/projects-details.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/projects-details.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:27	30200/30200	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/team.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/team.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:27	25484/25484	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/testimonial.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/testimonial.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:28	25680/25680	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/faq.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/faq.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:28	22009/22009	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/log-in.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/log-in.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:28	21538/21538	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/register.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/register.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:29	22613/22613	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/get-free-quote.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/get-free-quote.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:29	25536/25536	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/partner-details.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/partner-details.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:29	25410/25410	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/privacy-policy.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/privacy-policy.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:30	25382/25382	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/terms-conditions.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/terms-conditions.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:30	4829/4829	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/coming-soon.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/coming-soon.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:30	20612/20612	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:04%20GMT	https://templates.envytheme.com/roose/default/404.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/404.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:31	28349/28349	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/services.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/services.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:31	25576/25576	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:07%20GMT	https://templates.envytheme.com/roose/default/services-details.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/services-details.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:31	35070/35070	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/products.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/products.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:32	28126/28126	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/checkout.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/checkout.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:32	28729/28729	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/product-details.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/product-details.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:32	28523/28523	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/blog.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/blog.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:33	26820/26820	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:04%20GMT	https://templates.envytheme.com/roose/default/blog-grid.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/blog-grid.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:33	28605/28605	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:04%20GMT	https://templates.envytheme.com/roose/default/blog-left-sidebar.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/blog-left-sidebar.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:33	32749/32749	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:04%20GMT	https://templates.envytheme.com/roose/default/blog-details.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/blog-details.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:34	23623/23623	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:05%20GMT	https://templates.envytheme.com/roose/default/contact.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/contact.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:35	11227/11227	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe982-2bdb%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-1.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-1.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:35	9380/9380	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe982-24ac%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-2.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-2.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:36	8886/8886	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe982-22be%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-3.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-3.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:36	8499/8499	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe983-213b%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-4.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-4.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:37	10358/10358	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe983-287e%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-5.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-5.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:37	7472/7472	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe983-1d38%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-6.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-6.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:38	7210/7210	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe983-1c32%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-7.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-7.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:38	10593/10593	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe984-2969%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-8.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-8.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:38	10179/10179	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe984-27cb%22	https://templates.envytheme.com/roose/default/assets/images/gallery/gallery-9.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/gallery/gallery-9.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:40	249845/249845	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe96f-3cff5%22	https://templates.envytheme.com/roose/default/assets/images/about-img-4.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/about-img-4.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:42	69380/69380	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe990-10f04%22	https://templates.envytheme.com/roose/default/assets/images/services/services-1.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/services/services-1.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:43	45396/45396	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe991-b154%22	https://templates.envytheme.com/roose/default/assets/images/services/services-2.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/services/services-2.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:43	20293403/20293403	---M--	200	added ('OK')	video/mp4	etag:%2260ebe9cd-135a71b%22	https://templates.envytheme.com/roose/default/assets/images/banner/banner-video.mp4	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/banner/banner-video.mp4	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:44	114383/114383	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe991-1becf%22	https://templates.envytheme.com/roose/default/assets/images/services/services-3.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/services/services-3.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:45	50028/50028	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe992-c36c%22	https://templates.envytheme.com/roose/default/assets/images/services/services-4.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/services/services-4.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:46	30492/30492	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe992-771c%22	https://templates.envytheme.com/roose/default/assets/images/services/services-5.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/services/services-5.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:47	43877/43877	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe992-ab65%22	https://templates.envytheme.com/roose/default/assets/images/services/services-6.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/services/services-6.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:48	46123/46123	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99a-b42b%22	https://templates.envytheme.com/roose/default/assets/images/team/team-1.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/team/team-1.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:49	38182/38182	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99b-9526%22	https://templates.envytheme.com/roose/default/assets/images/team/team-2.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/team/team-2.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:50	32222/32222	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99b-7dde%22	https://templates.envytheme.com/roose/default/assets/images/team/team-3.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/team/team-3.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:51	35356/35356	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99b-8a1c%22	https://templates.envytheme.com/roose/default/assets/images/team/team-4.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/team/team-4.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:52	1925/1925	---M--	200	added ('OK')	image/png	etag:%2260ebe986-785%22	https://templates.envytheme.com/roose/default/assets/images/partner/partner-1.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/partner/partner-1.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:52	2107/2107	---M--	200	added ('OK')	image/png	etag:%2260ebe986-83b%22	https://templates.envytheme.com/roose/default/assets/images/partner/partner-2.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/partner/partner-2.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:53	3079/3079	---M--	200	added ('OK')	image/png	etag:%2260ebe986-c07%22	https://templates.envytheme.com/roose/default/assets/images/partner/partner-3.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/partner/partner-3.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:54	2387/2387	---M--	200	added ('OK')	image/png	etag:%2260ebe987-953%22	https://templates.envytheme.com/roose/default/assets/images/partner/partner-4.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/partner/partner-4.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:55	2443/2443	---M--	200	added ('OK')	image/png	etag:%2260ebe987-98b%22	https://templates.envytheme.com/roose/default/assets/images/partner/partner-5.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/partner/partner-5.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:56	5718/5718	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99d-1656%22	https://templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-1.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-1.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:57	2970/2970	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99e-b9a%22	https://templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-2.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-2.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:58	3292/3292	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99e-cdc%22	https://templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-3.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-3.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:59	2991/2991	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe99e-baf%22	https://templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-4.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/testimonials/testimonials-4.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:01	89482/89482	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe978-15d8a%22	https://templates.envytheme.com/roose/default/assets/images/before-after/before-img.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/before-after/before-img.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:02	190714/190714	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe977-2e8fa%22	https://templates.envytheme.com/roose/default/assets/images/before-after/after-img.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/before-after/after-img.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:03	106235/106235	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe97a-19efb%22	https://templates.envytheme.com/roose/default/assets/images/blog/blog-1.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/blog/blog-1.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:03	25466/25466	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:04%20GMT	https://templates.envytheme.com/roose/default/author.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/author.html	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:04	125431/125431	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe97a-1e9f7%22	https://templates.envytheme.com/roose/default/assets/images/blog/blog-2.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/blog/blog-2.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:05	65688/65688	---M--	200	added ('OK')	image/jpeg	etag:%2260ebe97b-10098%22	https://templates.envytheme.com/roose/default/assets/images/blog/blog-3.jpg	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/blog/blog-3.jpg	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:06	5351/5351	---M--	200	added ('OK')	image/png	etag:%2260ebe970-14e7%22	https://templates.envytheme.com/roose/default/assets/images/subscribe-shape-1.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/subscribe-shape-1.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:07	2264/2264	---M--	200	added ('OK')	image/png	etag:%2260ebe970-8d8%22	https://templates.envytheme.com/roose/default/assets/images/subscribe-shape-2.png	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/images/subscribe-shape-2.png	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:07	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264cd2768-4d7%22	https://templates.envytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/a4/templates.envytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:08	89500/89500	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ebe973-15d9c%22	https://templates.envytheme.com/roose/default/assets/js/jquery.min.js	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/js/jquery.min.js	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:09	80772/80772	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ebe972-13b84%22	https://templates.envytheme.com/roose/default/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/js/bootstrap.bundle.min.js	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:09	4038/4038	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ebe973-fc6%22	https://templates.envytheme.com/roose/default/assets/js/meanmenu.min.js	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/js/meanmenu.min.js	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:10	44143/44143	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ebe974-ac6f%22	https://templates.envytheme.com/roose/default/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/js/owl.carousel.min.js	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:11	3464/3464	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ebe972-d88%22	https://templates.envytheme.com/roose/default/assets/js/carousel-thumbs.min.js	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/js/carousel-thumbs.min.js	(from https://templates.envytheme.com/roose/default/index-3.html)
21:33:11	8155/8155	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ebe974-1fdb%22	https://templates.envytheme.com/roose/default/assets/js/wow.min.js	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/js/wow.min.js	(from https://templates.envytheme.com/roose/default/index-3.html)
